Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	0.516547	0.289208	86.581667	91.600000	
0.010000	0.259415	0.216152	92.545000	93.950000	
0.010000	0.201986	0.177764	94.343333	94.780000	
0.010000	0.165051	0.149667	95.318333	95.600000	
0.010000	0.139030	0.128418	96.070000	96.220000	
0.010000	0.119939	0.116352	96.710000	96.600000	
0.010000	0.104811	0.104972	97.101667	96.880000	
0.010000	0.093801	0.096976	97.466667	97.120000	
0.010000	0.084180	0.094102	97.731667	97.140000	
0.010000	0.076191	0.085866	97.956667	97.510000	
0.010000	0.069832	0.081906	98.118333	97.590000	
0.010000	0.064328	0.079128	98.340000	97.710000	
0.010000	0.059059	0.077403	98.468333	97.740000	
0.010000	0.055209	0.074700	98.570000	97.780000	
0.010000	0.051301	0.072494	98.680000	97.880000	
0.010000	0.047872	0.071196	98.815000	97.770000	
0.010000	0.044999	0.071158	98.900000	97.790000	
0.010000	0.042177	0.066217	98.998333	97.990000	
0.010000	0.039857	0.066495	99.031667	97.970000	
0.010000	0.037694	0.065470	99.106667	97.950000	
