Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	0.334780	0.171097	90.739998	95.029999	
0.010000	0.146454	0.119314	95.860001	96.540001	
0.010000	0.101004	0.095734	97.130005	97.180000	
0.010000	0.076962	0.079977	97.833336	97.579994	
0.010000	0.061982	0.071321	98.276665	97.809998	
0.010000	0.051203	0.072743	98.623337	97.759995	
0.010000	0.043655	0.065332	98.834999	97.889999	
0.010000	0.037196	0.060615	99.014999	98.070000	
0.010000	0.032292	0.061654	99.201668	98.110001	
0.010000	0.027860	0.060691	99.376671	98.129997	
0.010000	0.024530	0.059587	99.493332	98.159996	
0.010000	0.021542	0.057554	99.590004	98.180000	
0.010000	0.019453	0.058800	99.675003	98.169998	
0.010000	0.017735	0.055236	99.709999	98.209999	
0.010000	0.015728	0.056216	99.798332	98.139999	
0.010000	0.014738	0.055076	99.801666	98.199997	
0.010000	0.013420	0.054438	99.870003	98.149994	
0.010000	0.012636	0.055487	99.881668	98.229996	
0.010000	0.011708	0.053104	99.908333	98.320000	
0.010000	0.011151	0.053524	99.915001	98.259995	
